Cityname,Year,Month,disDay,disQuantity(ton),disCount
Ulsan,2020,06,Tues,46.88227,32275
Ulsan,2020,06,Wed,34.67579,24211
Ulsan,2020,06,Thu,33.2238,23061
Ulsan,2020,06,Fri,35.60275,24781
Ulsan,2020,06,Sat,37.1127,24357
Ulsan,2020,07,Sun,45.2296,28309
Ulsan,2020,07,Mon,39.98075,26193
Ulsan,2020,07,Tues,40.76245,27857
Ulsan,2020,07,Wed,44.56759,31236
Ulsan,2020,07,Thu,44.6222,31585
Ulsan,2020,07,Fri,45.76395,32084
Ulsan,2020,07,Sat,39.1935,26106
Ulsan,2020,08,Sun,55.87844,37067
Ulsan,2020,08,Mon,51.9923,35926
Ulsan,2020,08,Tues,39.5674,28125
Ulsan,2020,08,Wed,37.98164,27716
Ulsan,2020,08,Thu,37.9853,27979
Ulsan,2020,08,Fri,34.55691,25664
Ulsan,2020,08,Sat,49.2846,34026
Ulsan,2020,09,Sun,40.90679,28674
Ulsan,2020,09,Mon,36.30064,26509
Ulsan,2020,09,Tues,44.223,33861
Ulsan,2020,09,Wed,44.4188,33652
Ulsan,2020,09,Thu,32.13062,25628
Ulsan,2020,09,Fri,31.95305,24795
Ulsan,2020,09,Sat,32.487,24253
Ulsan,2020,10,Sun,40.0555,26380
Ulsan,2020,10,Mon,36.1172,24924
Ulsan,2020,10,Tues,33.01481,23800
Ulsan,2020,10,Wed,30.7916,22562
Ulsan,2020,10,Thu,41.32636,29240
Ulsan,2020,10,Fri,39.41045,28082
Ulsan,2020,10,Sat,41.75491,28459
Ulsan,2020,11,Sun,53.86995,31027
Ulsan,2020,11,Mon,49.09594,29582
Ulsan,2020,11,Tues,34.5086,22093
Ulsan,2020,11,Wed,33.0376,21426
Ulsan,2020,11,Thu,34.70824,22266
Ulsan,2020,11,Fri,35.32576,22159
Ulsan,2020,11,Sat,37.3351,21736
Ulsan,2020,12,Sun,47.62255,25171
Ulsan,2020,12,Mon,39.92585,22630
Ulsan,2020,12,Tues,46.521,27167
Ulsan,2020,12,Wed,44.73167,26677
Ulsan,2020,12,Thu,46.87565,27903
Ulsan,2020,12,Fri,38.15925,21898
Ulsan,2020,12,Sat,42.5258,22826
Busan,2017,07,Sun,1.6449,1257
